strategy,period,start,end,trading_days,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,benchmark_cagr,benchmark_max_drawdown,annual_one_way_turnover
low_volatility_30,validation_2018_2021,2018-01-02,2021-12-31,973,0.2623041207573318,0.06004706740561083,0.15276474986425678,0.47223474176539093,-0.19534598737943776,0.30738828174123745,0.04905677602534375,-0.3129127761329994,2.750489838022253
low_volatility_30,oos_2022_2025,2022-01-04,2025-12-31,969,0.1936738963748379,0.04537906426924798,0.0961659321476558,0.5276855072491319,-0.10563317022254415,0.4295910477139426,-0.012124029340712217,-0.361122244488978,1.9979448197996303
low_volatility_30,full_2013_2025,2013-01-04,2025-12-31,3157,2.745331857558461,0.10701435635695167,0.14897793038957519,0.782904430797492,-0.3966550344302162,0.26979200329746167,0.049744517396759225,-0.46306068601583117,2.2985446033954355
concentrated_momentum_10,development_2013_2017,2013-01-04,2017-12-29,1215,0.7409135477597095,0.11768601722906391,0.2542165841824318,0.580889673130543,-0.5593961345321208,0.21038046200926389,0.10043431787523005,-0.46306068601583117,2.262509936706102
concentrated_momentum_10,validation_2018_2021,2018-01-02,2021-12-31,973,0.6646895228749068,0.1360776728249402,0.2695686644616024,0.6259405813490134,-0.3103842402222171,0.4384168240227548,0.04905677602534375,-0.3129127761329994,2.580243364294528
concentrated_momentum_10,oos_2022_2025,2022-01-04,2025-12-31,969,0.16973570979764885,0.04008376659704527,0.2133791775897883,0.2982198942797226,-0.3192047964115321,0.12557382297403705,-0.012124029340712217,-0.361122244488978,2.4505287344319013
concentrated_momentum_10,full_2013_2025,2013-01-04,2025-12-31,3157,2.39916876820529,0.09877964027907504,0.24741227699340135,0.5193977796827758,-0.5593961345321208,0.17658262934136001,0.049744517396759225,-0.46306068601583117,2.4171072042614754
medium_momentum_15,development_2013_2017,2013-01-04,2017-12-29,1215,1.0648127994805647,0.15662108021471144,0.24687546085079354,0.7342395349608649,-0.5188547967566058,0.30185917369129034,0.10043431787523005,-0.46306068601583117,2.5064385367372304
medium_momentum_15,validation_2018_2021,2018-01-02,2021-12-31,973,0.6888879333463045,0.14018949962628757,0.25757129453388905,0.6573079990642126,-0.3118442761500879,0.44954969626832464,0.04905677602534375,-0.3129127761329994,2.8184582465623085
medium_momentum_15,oos_2022_2025,2022-01-04,2025-12-31,969,-0.051506313910854695,-0.013168583650596033,0.1838516092060712,0.017547062079383745,-0.35156756976791825,-0.037456764454380884,-0.012124029340712217,-0.361122244488978,2.6245226679732254
medium_momentum_15,full_2013_2025,2013-01-04,2025-12-31,3157,2.3110055675098087,0.09655880423193963,0.2329708168807627,0.5277200296751955,-0.5188547967566058,0.18609985844890484,0.049744517396759225,-0.46306068601583117,2.637666413475316
