date,nav,cash,dividend_receivables,holdings_value,gross_exposure,positions,stale_positions,benchmark_nav,cumulative_fees,cumulative_notional,cumulative_dividends,cumulative_cash_interest,cumulative_delist_writeoff,benchmark_matched_nav
2024-01-15,1000105.6375330053,715085.0328290228,0,285020.60470398254,0.2849904990107371,13,0,824119.2469507097,20439.294814022876,23694565.457610875,0.0,0.0,0.0,892214.7907821629
2024-01-16,1000964.1088246597,715085.0328290228,0,285879.0759956369,0.2856037229260082,13,0,828645.0295996093,20439.294814022876,23694565.457610875,0.0,0.0,0.0,893611.1701920871
2024-01-17,1001238.5326412527,715085.0328290228,0,286153.4998122299,0.2857995277682343,13,0,827451.492521249,20439.294814022876,23694565.457610875,0.0,0.0,0.0,893243.5665219093
2024-01-18,999183.9169739819,715085.0328290228,0,284098.88414495904,0.28433092178399905,13,0,822771.5179859658,20439.294814022876,23694565.457610875,0.0,0.0,0.0,891799.6823682415
2024-01-19,998256.3235019379,715085.0328290228,0,283171.29067291506,0.28366591225741966,13,0,812858.5474279664,20439.294814022876,23694565.457610875,0.0,0.0,0.0,888744.6488926521
2024-01-22,996639.3617373982,715085.0328290228,0,281554.3289083754,0.2825037217249316,13,0,804393.9385973496,20439.294814022876,23694565.457610875,0.0,0.0,0.0,886119.3662598243
2024-01-23,997715.554032531,715085.0328290228,0,282630.52120350813,0.28327765369717073,13,0,807152.0347516156,20439.294814022876,23694565.457610875,0.0,0.0,0.0,886977.7016417565
2024-01-24,996126.3563703091,715085.0328290228,0,281041.3235412863,0.2821342109301738,13,0,800324.6065224229,20439.294814022876,23694565.457610875,0.0,0.0,0.0,884852.3694708906
2024-01-25,995559.3304267933,715085.0328290228,0,280474.2975977705,0.28172534677318734,13,0,800931.3129784635,20439.294814022876,23694565.457610875,0.0,0.0,0.0,885041.6208337322
2024-01-26,999887.3199272786,715085.0328290228,0,284802.2870982557,0.284834382257162,13,0,808768.7572180101,20439.294814022876,23694565.457610875,0.0,0.0,0.0,887481.502748139
2024-01-29,1001730.065972484,715085.0328290228,0,286645.03314346104,0.2861499748090168,13,0,816467.266782875,20439.294814022876,23694565.457610875,0.0,0.0,0.0,889887.7154186207
2024-01-30,1004177.3954314516,715085.0328290228,0,289092.36260242877,0.2878897333455891,13,0,828163.3309899657,20439.294814022876,23694565.457610875,0.0,0.0,0.0,893535.5059297086
2024-01-31,1004568.3544111941,715085.0328290228,0,289483.3215821713,0.288166873175938,13,0,826106.5453002689,20439.294814022876,23694565.457610875,0.0,0.0,0.0,892896.6380748132
2024-02-01,1002567.7512068411,712071.59576052,0,290496.1554463211,0.28975214402880634,15,0,818225.0434630943,20539.90150677308,23808573.86370811,0.0,0.0,0.0,890441.8265140874
2024-02-02,1004136.848263337,712071.59576052,0,292065.252502817,0.2908620005410082,15,0,825923.4904172019,20539.90150677308,23808573.86370811,0.0,0.0,0.0,892869.3451006976
2024-02-05,1003656.6115508713,712071.59576052,0,291585.01579035126,0.29052268717663104,15,0,828377.1760308779,20539.90150677308,23808573.86370811,0.0,0.0,0.0,893640.8771970888
